Group,Year,County,Enrollment
American Indialaska Native Students,2009,STANISLAUS COUNTY,789
American Indialaska Native Students,2009,SUTTER COUNTY,210
American Indialaska Native Students,2009,TEHAMA COUNTY,195
American Indialaska Native Students,2009,TRINITY COUNTY,161
American Indialaska Native Students,2009,TULARE COUNTY,1134
American Indialaska Native Students,2009,TUOLUMNE COUNTY,194
American Indialaska Native Students,2009,VENTURA COUNTY,992
American Indialaska Native Students,2009,YOLO COUNTY,254
American Indialaska Native Students,2009,YUBA COUNTY,579
American Indialaska Native Students,2008,ALAMEDA COUNTY,930
American Indialaska Native Students,2008,ALPINE COUNTY,56
American Indialaska Native Students,2008,AMADOR COUNTY,128
American Indialaska Native Students,2008,BUTTE COUNTY,869
American Indialaska Native Students,2008,CALAVERAS COUNTY,136
American Indialaska Native Students,2008,COLUSA COUNTY,86
American Indialaska Native Students,2008,CONTRA COSTA COUNTY,775
American Indialaska Native Students,2008,DEL NORTE COUNTY,664
American Indialaska Native Students,2008,EL DORADO COUNTY,416
American Indialaska Native Students,2008,FRESNO COUNTY,2011
American Indialaska Native Students,2008,GLENN COUNTY,115
American Indialaska Native Students,2008,HUMBOLDT COUNTY,2158
American Indialaska Native Students,2008,IMPERIAL COUNTY,436
American Indialaska Native Students,2008,INYO COUNTY,501
American Indialaska Native Students,2008,KERN COUNTY,1284
American Indialaska Native Students,2008,KINGS COUNTY,409
American Indialaska Native Students,2008,LAKE COUNTY,545
American Indialaska Native Students,2008,LASSEN COUNTY,304
American Indialaska Native Students,2008,LOS ANGELES COUNTY,4511
American Indialaska Native Students,2008,MADERA COUNTY,403
American Indialaska Native Students,2008,MARIN COUNTY,71
American Indialaska Native Students,2008,MARIPOSA COUNTY,115
American Indialaska Native Students,2008,MENDOCINO COUNTY,1069
American Indialaska Native Students,2008,MERCED COUNTY,204
American Indialaska Native Students,2008,MODOC COUNTY,101
American Indialaska Native Students,2008,MONO COUNTY,38
American Indialaska Native Students,2008,MONTEREY COUNTY,238
American Indialaska Native Students,2008,NAPA COUNTY,152
American Indialaska Native Students,2008,NEVADA COUNTY,231
American Indialaska Native Students,2008,ORANGE COUNTY,2472
American Indialaska Native Students,2008,PLACER COUNTY,539
American Indialaska Native Students,2008,PLUMAS COUNTY,199
American Indialaska Native Students,2008,RIVERSIDE COUNTY,2580
American Indialaska Native Students,2008,SACRAMENTO COUNTY,2513
American Indialaska Native Students,2008,SAN BENITO COUNTY,51
American Indialaska Native Students,2008,SAN BERNARDINO COUNTY,2340
American Indialaska Native Students,2008,SAN DIEGO COUNTY,3777
American Indialaska Native Students,2008,SAN FRANCISCO COUNTY,330
American Indialaska Native Students,2008,SAN JOAQUIN COUNTY,2375
American Indialaska Native Students,2008,SAN LUIS OBISPO COUNTY,204
American Indialaska Native Students,2008,SAN MATEO COUNTY,301
American Indialaska Native Students,2008,SANTA BARBARA COUNTY,496
American Indialaska Native Students,2008,SANTA CLARA COUNTY,1028
American Indialaska Native Students,2008,SANTA CRUZ COUNTY,147
American Indialaska Native Students,2008,SHASTA COUNTY,1508
American Indialaska Native Students,2008,SIERRA COUNTY,3
American Indialaska Native Students,2008,SISKIYOU COUNTY,488
American Indialaska Native Students,2008,SOLANO COUNTY,497
American Indialaska Native Students,2008,SONOMA COUNTY,921
American Indialaska Native Students,2008,STANISLAUS COUNTY,851
American Indialaska Native Students,2008,SUTTER COUNTY,248
American Indialaska Native Students,2008,TEHAMA COUNTY,267
American Indialaska Native Students,2008,TRINITY COUNTY,189
American Indialaska Native Students,2008,TULARE COUNTY,1052
American Indialaska Native Students,2008,TUOLUMNE COUNTY,215
American Indialaska Native Students,2008,VENTURA COUNTY,938
American Indialaska Native Students,2008,YOLO COUNTY,264
American Indialaska Native Students,2008,YUBA COUNTY,574
American Indialaska Native Students,2007,ALAMEDA COUNTY,977
American Indialaska Native Students,2007,ALPINE COUNTY,50
American Indialaska Native Students,2007,AMADOR COUNTY,130
American Indialaska Native Students,2007,BUTTE COUNTY,916
American Indialaska Native Students,2007,CALAVERAS COUNTY,170
American Indialaska Native Students,2007,COLUSA COUNTY,79
American Indialaska Native Students,2007,CONTRA COSTA COUNTY,821
American Indialaska Native Students,2007,DEL NORTE COUNTY,640
American Indialaska Native Students,2007,EL DORADO COUNTY,434
American Indialaska Native Students,2007,FRESNO COUNTY,1647
American Indialaska Native Students,2007,GLENN COUNTY,130
American Indialaska Native Students,2007,HUMBOLDT COUNTY,2244
American Indialaska Native Students,2007,IMPERIAL COUNTY,444
American Indialaska Native Students,2007,INYO COUNTY,490
American Indialaska Native Students,2007,KERN COUNTY,1189
American Indialaska Native Students,2007,KINGS COUNTY,434
American Indialaska Native Students,2007,LAKE COUNTY,523
American Indialaska Native Students,2007,LASSEN COUNTY,289
American Indialaska Native Students,2007,LOS ANGELES COUNTY,4579
American Indialaska Native Students,2007,MADERA COUNTY,408
American Indialaska Native Students,2007,MARIN COUNTY,68
American Indialaska Native Students,2007,MARIPOSA COUNTY,148
American Indialaska Native Students,2007,MENDOCINO COUNTY,1109
American Indialaska Native Students,2007,MERCED COUNTY,244
American Indialaska Native Students,2007,MODOC COUNTY,127
American Indialaska Native Students,2007,MONO COUNTY,58
American Indialaska Native Students,2007,MONTEREY COUNTY,248
American Indialaska Native Students,2007,NAPA COUNTY,170
American Indialaska Native Students,2007,NEVADA COUNTY,289
American Indialaska Native Students,2007,ORANGE COUNTY,2605
American Indialaska Native Students,2007,PLACER COUNTY,471
American Indialaska Native Students,2007,PLUMAS COUNTY,196
American Indialaska Native Students,2007,RIVERSIDE COUNTY,2631
American Indialaska Native Students,2007,SACRAMENTO COUNTY,2630
American Indialaska Native Students,2007,SAN BENITO COUNTY,56
American Indialaska Native Students,2007,SAN BERNARDINO COUNTY,2475
American Indialaska Native Students,2007,SAN DIEGO COUNTY,3930
American Indialaska Native Students,2007,SAN FRANCISCO COUNTY,347
American Indialaska Native Students,2007,SAN JOAQUIN COUNTY,2456
American Indialaska Native Students,2007,SAN LUIS OBISPO COUNTY,214
American Indialaska Native Students,2007,SAN MATEO COUNTY,312
American Indialaska Native Students,2007,SANTA BARBARA COUNTY,560
American Indialaska Native Students,2007,SANTA CLARA COUNTY,1084
American Indialaska Native Students,2007,SANTA CRUZ COUNTY,150
American Indialaska Native Students,2007,SHASTA COUNTY,1538
American Indialaska Native Students,2007,SIERRA COUNTY,10
American Indialaska Native Students,2007,SISKIYOU COUNTY,419
American Indialaska Native Students,2007,SOLANO COUNTY,545
American Indialaska Native Students,2007,SONOMA COUNTY,931
American Indialaska Native Students,2007,STANISLAUS COUNTY,900
American Indialaska Native Students,2007,SUTTER COUNTY,265
American Indialaska Native Students,2007,TEHAMA COUNTY,295
American Indialaska Native Students,2007,TRINITY COUNTY,192
American Indialaska Native Students,2007,TULARE COUNTY,1010
American Indialaska Native Students,2007,TUOLUMNE COUNTY,213
American Indialaska Native Students,2007,VENTURA COUNTY,964
American Indialaska Native Students,2007,YOLO COUNTY,294
American Indialaska Native Students,2007,YUBA COUNTY,653
American Indialaska Native Students,2006,ALAMEDA COUNTY,1037
American Indialaska Native Students,2006,ALPINE COUNTY,54
American Indialaska Native Students,2006,AMADOR COUNTY,161
American Indialaska Native Students,2006,BUTTE COUNTY,930
American Indialaska Native Students,2006,CALAVERAS COUNTY,167
American Indialaska Native Students,2006,COLUSA COUNTY,75
American Indialaska Native Students,2006,CONTRA COSTA COUNTY,852
American Indialaska Native Students,2006,DEL NORTE COUNTY,678
American Indialaska Native Students,2006,EL DORADO COUNTY,491
American Indialaska Native Students,2006,FRESNO COUNTY,1696
American Indialaska Native Students,2006,GLENN COUNTY,140
American Indialaska Native Students,2006,HUMBOLDT COUNTY,2264
American Indialaska Native Students,2006,IMPERIAL COUNTY,436
American Indialaska Native Students,2006,INYO COUNTY,498
American Indialaska Native Students,2006,KERN COUNTY,1252
American Indialaska Native Students,2006,KINGS COUNTY,388
American Indialaska Native Students,2006,LAKE COUNTY,505
American Indialaska Native Students,2006,LASSEN COUNTY,282
American Indialaska Native Students,2006,LOS ANGELES COUNTY,4753
American Indialaska Native Students,2006,MADERA COUNTY,396
American Indialaska Native Students,2006,MARIN COUNTY,81
American Indialaska Native Students,2006,MARIPOSA COUNTY,131
American Indialaska Native Students,2006,MENDOCINO COUNTY,1122
American Indialaska Native Students,2006,MERCED COUNTY,190
American Indialaska Native Students,2006,MODOC COUNTY,138
American Indialaska Native Students,2006,MONO COUNTY,66
American Indialaska Native Students,2006,MONTEREY COUNTY,279
American Indialaska Native Students,2006,NAPA COUNTY,214
American Indialaska Native Students,2006,NEVADA COUNTY,232
American Indialaska Native Students,2006,ORANGE COUNTY,2433
American Indialaska Native Students,2006,PLACER COUNTY,523
American Indialaska Native Students,2006,PLUMAS COUNTY,214
American Indialaska Native Students,2006,RIVERSIDE COUNTY,2733
American Indialaska Native Students,2006,SACRAMENTO COUNTY,2697
American Indialaska Native Students,2006,SAN BENITO COUNTY,69
American Indialaska Native Students,2006,SAN BERNARDINO COUNTY,2581
American Indialaska Native Students,2006,SAN DIEGO COUNTY,4025
American Indialaska Native Students,2006,SAN FRANCISCO COUNTY,334
American Indialaska Native Students,2006,SAN JOAQUIN COUNTY,2175
